"name","state","White","Black","Hispanic","Asian","Women","World.Rank","National.Rank","Men","act-avg","sat-avg","acceptance-rate","percent-receiving-aid","cost-after-aid","institutionalControl","tuition","early_career_pay","mid_career_pay","make_world_better_percent","stem_percent"
"Dartmouth College","New Hampshire",47.1260717688155,5.4144172753255,7.08161321054303,12.305493807558,47.1101937122896,49,33,52.8898062877104,30,1350,11,50,23312,"private",52950,71500,130900,44,35
"University of California, Davis","California",33.0300220238785,2.04300452069085,16.5092152544338,30.0712878173177,56.5318187087052,50,34,43.4681812912948,24,1050,42,9,44075,"public",42396,61500,112600,52,35
"University of Virginia","Virginia",61.5666610483735,5.51575931232092,5.23344008090342,10.0792179335918,54.0409573571549,53,35,45.9590426428451,29,1240,30,28,28079,"public",46975,64500,117500,46,23
"Ohio State University","Ohio",69.0699907410583,5.32903535544049,3.51325400363499,5.72511230753403,49.1375467233634,54,36,50.8624532766366,27,1160,54,9,37032,"public",29659,55300,98600,49,27
"University of Colorado Boulder","Colorado",70.5414405525407,1.57868771583621,9.37962506166749,4.98581647755303,44.1230883078441,57,37,55.8769116921559,25,1070,77,12,41125,"public",35079,57800,109900,48,39
"Purdue University","Indiana",60.9881263835782,3.02374723284363,3.96206480177098,5.22237874823908,41.6280941839404,61,38,58.3719058160596,25,1080,56,16,28383,"public",28804,60900,110000,48,38
"University of Pittsburgh","Pennsylvania",68.5711290491666,4.86773596114198,2.91784603557326,7.64580494111892,52.0739420624105,63,39,47.9260579375895,27,1190,55,NA,NA,"public",30642,55900,100400,50,27
"University of California, Irvine","California",19.8695550896809,1.81358357458986,21.4768227346844,36.178496555855,51.7719876210442,65,40,48.2280123789558,NA,1060,41,6,43506,"public",43530,59600,116000,49,34
"University of California, Santa Barbara","California",38.4104811071103,2.04763350830767,23.2788165372435,17.8126762396425,51.5292178213527,66,41,48.4707821786473,25,1140,36,8,44849,"public",42423,59700,116300,47,29
"University of Arizona","Arizona",52.206648356852,3.31944312908419,22.2677336869022,5.66341509612653,51.8301922530543,69,43,48.1698077469457,21,970,79,29,35051,"public",32449,56100,101000,51,23
"Boston University","Massachusetts",45.5966616841056,3.70577977080219,7.53300946686597,10.7374190333832,58.4360986547085,74,44,41.5639013452915,28,1220,29,36,34539,"private",52082,61400,113600,43,25
"University of Florida","Florida",55.2316059766675,6.37093350047514,16.4317919893245,7.07859034756061,54.2267332538062,81,45,45.7732667461938,27,1180,46,20,36825,"public",28658,55800,102800,52,29
"Georgia Institute of Technology","Georgia",48.0072698948462,5.61685923233372,5.58224068544723,15.5047816867887,30.1570816564975,82,46,69.8429183435025,30,1320,26,15,39518,"public",33014,72700,133400,48,80
"University of Utah","Utah",68.2151356496906,1.27240996350944,8.62446454069491,5.04521656354117,44.5121370775821,83,47,55.4878629224179,21,1050,76,11,35873,"public",26408,54800,102600,57,22
"Carnegie Mellon University","Pennsylvania",29.7688090887424,3.1937713513943,4.56026058631922,16.4534837530786,37.9915786128545,84,48,62.0084213871455,31,1380,22,40,33550,"private",53910,75900,136100,45,66
"Texas A&M University","Texas",60.7670095065053,3.04824632555725,18.2602770838065,5.75094902825995,47.495214301937,87,49,52.504785698063,24,1070,66,41,26376,"public",30208,60600,115700,53,30
"Emory University","Georgia",44.9251811226217,9.98036427652515,5.91780079897082,15.4445121538357,56.5305707901686,90,50,43.4694292098314,30,1290,25,42,24264,"private",49392,62000,110800,44,20
"University of Texas MD Anderson Cancer Center","Texas",30.6930693069307,10.8910891089109,24.0924092409241,24.7524752475248,67.6567656765677,93,51,32.3432343234323,NA,NA,NA,NA,NA,"public",NA,NA,NA,NA,NA
"Tufts University","Massachusetts",54.2128908040708,3.37398001283579,5.44604382506647,12.4048776015403,54.4696066746126,94,52,45.5303933253874,31,1370,14,34,27034,"private",54318,65200,118100,49,25
"University of Rochester","New York",48.0560578661844,4.43942133815552,4.81916817359855,8.27305605786619,50.8679927667269,97,53,49.1320072332731,29,1250,38,51,28476,"private",52020,61100,112700,50,32
"University of Maryland","Maryland",49.5985110342994,11.1831959585217,7.74793937782505,13.2810422759904,46.7428875299123,99,54,53.2571124700877,28,1210,48,20,36786,"public",33606,61300,113400,50,33
"Rice University","Texas",37.3659568041081,5.13517595529376,11.2671801842622,16.6440114786286,43.0297538136233,109,55,56.9702461863767,32,1410,15,37,23996,"private",45608,71000,129500,50,45
"Case Western Reserve University","Ohio",49.9396527713304,5.22699842168787,4.12217992758333,14.3255036672547,49.9489369603565,114,56,50.0510630396435,30,1280,35,48,35248,"private",47500,66600,117800,44,37
"Baylor College of Medicine","Texas",46.1489898989899,3.66161616161616,9.84848484848485,25.3156565656566,51.6414141414141,123,57,48.3585858585859,NA,NA,NA,NA,NA,"private",NA,NA,NA,NA,NA
"University of Notre Dame","Indiana",63.9707693570901,3.08728138599228,9.35216356022662,4.70481977173824,45.5456112981361,140,58,54.4543887018639,32,1350,19,47,29653,"private",51505,67000,130500,45,28
"University of Iowa","Iowa",67.1271271271271,2.84617951284618,5.77243910577244,3.52352352352352,51.5882549215883,142,59,48.4117450784117,23,1020,84,34,32794,"public",28813,54100,99400,48,16
"Brandeis University","Massachusetts",44.457527333894,4.62573591253154,5.43313708999159,9.78973927670311,54.2977291841884,147,60,45.7022708158116,29,1270,33,47,29288,"private",53582,60600,113200,48,29
"Icahn School of Medicine at Mount Sinai","New York",41.0614525139665,6.79702048417132,8.37988826815642,20.4841713221601,54.0037243947858,148,61,45.9962756052142,NA,NA,NA,NA,NA,"private",NA,NA,NA,NA,NA
"Indiana University Bloomington","Indiana",69.463116166839,3.86504653567735,4.42950706652878,4.32609445018959,50.2348328162702,152,63,49.7651671837298,24,1060,79,16,37563,"public",34845,53600,97100,47,16
"Michigan State University","Michigan",66.1228809328887,6.38166170803299,3.74992512130349,4.42083824204788,51.4506499470857,153,64,48.5493500529143,24,990,66,5,47279,"public",39405,55300,100800,46,20
"University of Massachusetts Amherst","Massachusetts",64.2709970316047,3.84145276759211,4.76689366160293,7.56416972236773,49.4080670508119,159,65,50.5919329491881,25,1130,60,35,35445,"public",33662,57400,103000,46,24
"Arizona State University","Arizona",51.9773449920509,3.58306836248013,16.3732114467409,6.32949125596184,42.9531001589825,166,66,57.0468998410175,22,1020,83,31,37446,"public",27372,54500,100900,52,30
"Iowa State University","Iowa",72.1446202991143,2.58748366487585,4.21373602439379,2.72978074633367,43.9814142587484,173,67,56.0185857412516,22,980,87,34,27241,"public",22256,56100,101300,48,31
"North Carolina State University","North Carolina",67.4041601694666,6.50798787843126,4.0954426432081,4.9398334755362,44.2613786813381,174,68,55.7386213186619,27,1170,46,41,25623,"public",27406,57300,106500,52,47
