"name","state.x","White","Black","Hispanic","Asian","Women","World.Rank","Location","National.Rank","Quality.of.Education","Alumni.Employment","Quality.of.Faculty","Research.Performance","Score","Men","act-avg","sat-avg","acceptance-rate","percent-receiving-aid","cost-after-aid","state.y","isPublic","tuition","total","White2","Black2","Hispanic2","Asian2","rank","state_name","early_career_pay","mid_career_pay","make_world_better_percent","stem_percent"
"Kettering University","Michigan",71.7652717652718,4.37710437710438,3.41510341510341,2.93410293410293,18.999518999519,1927,"USA",348,"-","108","-","-",66.1,81.000481000481,NA,NA,NA,NA,NA,NA,NA,NA,82.4915824915825,86.997084548105,5.30612244897959,4.1399416909621,3.55685131195335,1,"Michigan",69900,125000,44,74
"Bates College","Maine",71.8556119571348,4.7941342357586,6.76818950930626,4.62492949802594,50.4230118443316,1941,"USA",349,"-","188","-","-",66,49.5769881556684,NA,NA,NA,NA,NA,NA,NA,NA,88.0428652002256,81.6143497757847,5.44522741832159,7.6873798846893,5.25304292120436,3,"Maine",59500,111900,50,23
"Connecticut College","Connecticut",71.7368421052632,3.26315789473684,8.57894736842105,3.52631578947368,61.7894736842105,1943,"USA",350,"-","137","-","-",66,38.2105263157895,NA,NA,NA,NA,NA,NA,NA,NA,87.1052631578947,82.356495468278,3.74622356495468,9.84894259818731,4.04833836858006,8,"Connecticut",57500,100800,36,30
"Middlebury College","Vermont",64.508487958942,2.88195815238847,8.68535333596526,6.71140939597315,51.756810106593,1947,"USA",351,"-","686","-","1930",66,48.243189893407,NA,NA,NA,NA,NA,NA,NA,NA,82.7872088432689,77.9208392942299,3.48116356700048,10.4911778731521,8.10681926561755,1,"Vermont",60400,109800,54,19
"North Carolina A&T State University","North Carolina",6.004662004662,79.8135198135198,2.28438228438228,0.988344988344988,54.8065268065268,1950,"USA",352,"-","-","-","1888",66,45.1934731934732,18,850,54,NA,NA,"NC",TRUE,19416,89.0909090909091,6.73992673992674,89.5866038723181,2.56410256410256,1.10936682365254,NA,NA,NA,NA,NA,NA
"University of Massachusetts Dartmouth","Massachusetts",62.7483261991,10.6793985292504,6.98057293381627,3.20491713313577,48.3152233563824,1980,"USA",354,"-","1106","-","1926",65.9,51.6847766436176,NA,NA,NA,NA,NA,NA,NA,NA,83.6132147953024,75.0459438172749,12.7723812024153,8.34864793909163,3.83302704121817,NA,NA,NA,NA,NA,NA
"California State Polytechnic University at Pomona","California",20.72102144705,3.26295585412668,37.7701744137528,23.921388633898,44.3586747892848,1982,"USA",355,"-","-","-","1920",65.9,55.6413252107152,NA,NA,NA,NA,NA,NA,NA,NA,85.6755403488275,24.1854575561292,3.80850338479521,44.0851312521307,27.9209078069449,NA,NA,NA,NA,NA,NA
"Loyola Marymount University","California",44.6558066211245,6.14818707304256,23.0162900683132,11.077246452969,58.4130320546506,1990,"USA",356,"-","835","-","1952",65.8,41.5869679453494,NA,NA,NA,NA,NA,NA,NA,NA,84.8975302154493,52.5996533795494,7.24189155731617,27.110670958158,13.0477841049765,18,"California",58500,113300,39,9
"Colby College","Maine",60.0974553329724,3.03194369247428,6.11802923659989,5.57661072008663,52.9507309149973,1991,"USA",357,"-","318","-","-",65.8,47.0492690850027,NA,NA,NA,NA,NA,NA,NA,NA,74.8240389821332,80.3183791606367,4.0520984081042,8.17655571635311,7.45296671490593,4,"Maine",59200,103300,50,25
"Pace University","New York",46.7838531539239,10.7645640507117,12.3356926188069,8.53231702574473,60.5351170568562,1995,"USA",358,"-","205","-","-",65.8,39.4648829431438,21,940,84,NA,NA,"NY",TRUE,44036,78.4164268491872,59.6607815909542,13.7274350327316,15.7310057528268,10.8807776234874,NA,NA,NA,NA,NA,NA
